uf,nsorteio,totrecursos,tot_os,pop,purb,p_secundario,cod_ibge6,pib_capita_02,op_01_04,reeleito,ENEP2000,ENLP2000,pref_idade_tse,comarca,reeleito_2004,p_cad_pref,rec_transf_correntes,gini_ipea,fiscalizacoes,valor_fiscalizado,winmargin2000,winmargin2000_inclost,incumbent,vereador9600,pmismanagement,elected1,first,lpib02,lpop,pref_masc,party_d1,party_d3,party_d4,party_d5,party_d6,party_d7,party_d8,party_d9,party_d10,party_d11,party_d12,party_d13,party_d14,party_d15,party_d16,party_d17,party_d18,pref_escola,sorteio1,sorteio2,sorteio3,sorteio4,sorteio5,sorteio6,sorteio7,sorteio8,sorteio9,sorteio10,media2,vereador_eleit,mun_novo,exp_prefeito,winmargin,samepartygov98,lrec_trans,lfunc_ativ,lrec_fisc,ncorrupt,valor_corrupt,pcorrupt,ncorrupt_os,dcorrupt_desvio,dcorrupt_licitacao,dcorrupt_superfat,dcorrupt,ncorrupt_desvio,ncorrupt_licitacao,ncorrupt_superfat,corrupt_desvio,corrupt_licitacao,corrupt_superfat,pcorrupt_desvio,pcorrupt_licitacao,pcorrupt_superfat,shcorrupt_desvio,shcorrupt_licitacao,shcorrupt_superfat,dmismanagement,uf_d1,uf_d2,uf_d3,uf_d4,uf_d5,uf_d6,uf_d7,uf_d8,uf_d9,uf_d10,uf_d11,uf_d12,uf_d13,uf_d14,uf_d15,uf_d16,uf_d17,uf_d18,uf_d19,uf_d20,uf_d21,uf_d22,uf_d23,uf_d24,uf_d25,uf_d26,esample2
AM,10,7134979.25,29,32303,.30771136,.20745276,586308,2301.9617,0,1,11.450537,5.7619042,56,1,0,.090909094,12483961.85,.55900002,29,7134979.25,.090163916,,0,,2.3333333,0,0,-1.4688234,10.382915,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,1,.00098610483,0,1,.090163916,0,16.339954,6.6066504,15.780519,5,131300,.018402295,.1724138,1,0,0,1,5,0,0,131300,0,0,.018402295,0,0,.1724138,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AM,11,2828847.67,27,17079,.26471105,.063849151,586403,1796.2529,0,0,6.828547,3,38,1,1,.44444445,8736242.622500001,.57999998,27,2828847.67,.040487945,,0,0,,1,1,-1.7168823,9.7456045,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,1,1,.0015560166,0,0,.040487945,0,15.982991,5.5053315,14.85538,3,188500,.066634908,.11111111,0,1,1,1,0,2,1,0,177500,11000,0,.062746398,.0038885092,0,.074074075,.037037037,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AM,9,5144113.67,34,15355,.4108108,.24961863,586423,2021.7006,0,1,5.3556128,4.7647057,50,1,0,.22222222,8568895.293333335,.55299997,34,5144113.67,.027677506,,0,,.85000002,0,0,-1.598646,9.6391964,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,1,.00093370682,0,0,.027677506,0,15.96365,5.5529594,15.453363,1,24293,.0047224849,.029411765,1,0,0,1,1,0,0,24293,0,0,.0047224849,0,0,.029411765,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AM,3,18493561.27,117,90150,.64475876,.29083064,586463,2116.6968,0,0,7.2206922,5.4516125,44,1,0,.30769232,26530503.555,.62099999,117,18493561.27,.11235109,,0,0,.43283582,1,1,-1.5527283,11.40923,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,1,.00031634019,0,1,.11235109,1,17.093805,8.0000143,16.732933,1,164999.94,.0089220209,.008547009,1,0,0,1,1,0,0,164999.94,0,0,.0089220209,0,0,.008547009,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
RR,8,10402074.87,53,9326,.32168132,.20872274,596138,2747.562,0,0,5.9520617,4.8399997,41,1,0,.27272728,3363198.18,.551,53,10402074.87,.024146557,,0,0,,0,1,-1.2918712,9.1405611,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,0,0,1,.0022513303,0,0,.024146557,0,15.028403,5.484797,16.157516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
RR,4,10996453.1,72,14286,.57650846,.26916146,596143,2956.9529,0,1,8.9874115,7.1999998,58,1,0,.16666667,8215819.415000001,.61299998,72,10996453.1,.0035422444,,0,,1.2647059,0,0,-1.2184259,9.5670357,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,1,.0012749681,0,0,.0035422444,0,15.921572,6.1800165,16.213083,3,133700,.012158466,.041666668,1,1,0,1,2,1,0,116700,17000,0,.010612513,.001545953,0,.027777778,.013888889,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
RR,5,12730349.28,75,4781,.67517257,.24542868,596151,2959.5298,0,1,5.252522,4.2631578,47,0,0,.22222222,3721450.12,.58200002,75,12730349.28,.3374784,,0,,.65714288,0,0,-1.2175547,8.4724054,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0,0,0,0,1,.0024154589,1,0,.3374784,0,15.129624,4.5643482,16.359499,3,795812,.062512971,.039999999,1,0,1,1,2,0,1,38000,0,757812,.0029849927,0,.059527982,.026666667,0,.013333334,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
RR,3,19113623.72,,11247,.62496668,.27202243,596153,2988.2512,0,0,8.9866705,6.3684206,40,0,0,.090909094,2972621.79,.58899999,107,19113623.72,.057536185,,0,0,,0,1,-1.2078968,9.327857,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,1,.0014767083,0,0,.057536185,0,14.904955,5.9295893,16.765911,1,357049,.01868034,.0093457941,0,1,0,1,0,1,0,0,357049,0,0,.01868034,0,0,.0093457941,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
RR,7,12164538.46,47,17393,.41309723,.2533122,596170,2729.9626,0,0,9.0349808,5.7619042,41,0,0,.27272728,7545742.617500001,.70200002,47,12164538.46,.20052671,,0,0,1.0833334,0,1,-1.2982972,9.7638235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,0,0,1,0,0,0,0,0,.0014998637,1,0,.20052671,0,15.836494,5.4424176,16.314035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
RR,6,9027989.9,55,5091,.7625221,.32615957,596173,3064.0217,0,0,6.5446482,4.8399997,52,0,0,.27272728,2116513.5225,.64300001,56,9027989.9,.03033334,,0,0,.79166669,0,1,-1.1828567,8.5352297,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,1,.002935682,0,0,.03033334,0,14.565281,4.8598123,16.015841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
